Job;Evaluations;Productivity;Attendance;Absenteeism;Lateness;Discipline;Penalties;Innovation;Problem Solving;Work Quality;Work Completion Time
Handler;0,89;0,51;0,87;0,19;0,08;0,83;0,00;0,03;0,01;0,73;0,97
Handler;0,82;0,78;0,76;0,09;0,02;0,85;0,01;0,01;0,03;0,96;0,91
Handler;0,60;0,86;0,65;0,09;0,00;0,70;0,03;0,02;0,03;0,84;0,93
Handler;0,73;0,80;0,52;0,10;0,06;1,00;0,05;0,05;0,02;0,92;0,99
Handler;0,86;0,57;0,52;0,10;0,08;0,80;0,04;0,01;0,01;0,79;0,88
Handler;0,63;0,74;0,60;0,13;0,06;0,80;0,10;0,01;0,03;0,95;0,98
Handler;0,71;0,53;0,94;0,18;0,08;0,94;0,06;0,00;0,04;0,78;0,99
Handler;0,65;0,88;0,91;0,15;0,00;0,78;0,10;0,02;0,04;0,80;0,95
Handler;0,64;0,73;0,69;0,03;0,02;0,78;0,05;0,02;0,02;0,96;0,95
Handler;0,86;0,86;0,67;0,07;0,02;0,87;0,04;0,05;0,05;0,87;0,93
Handler;0,70;0,63;0,86;0,01;0,02;0,82;0,06;0,04;0,01;0,70;0,93
Handler;0,71;0,77;0,91;0,10;0,08;0,79;0,09;0,03;0,02;0,87;0,89
Handler;0,70;0,83;0,52;0,03;0,09;0,87;0,00;0,01;0,01;0,80;0,94
Handler;0,71;0,85;0,55;0,03;0,15;0,81;0,00;0,05;0,04;0,91;0,98
Handler;0,77;0,56;0,89;0,12;0,06;0,90;0,00;0,01;0,04;0,88;0,89
Handler;0,76;0,58;0,93;0,05;0,06;0,71;0,08;0,01;0,03;0,73;0,93
Handler;0,72;0,89;0,67;0,14;0,09;0,89;0,00;0,05;0,04;0,85;0,90
Handler;0,71;0,84;0,90;0,19;0,09;0,91;0,01;0,05;0,00;0,92;0,96
Handler;0,86;0,63;0,66;0,10;0,01;0,98;0,04;0,03;0,03;0,79;0,94
Handler;0,92;0,76;0,91;0,14;0,06;0,99;0,04;0,04;0,02;0,85;0,98
Handler;0,61;0,76;0,54;0,18;0,15;0,99;0,01;0,02;0,04;0,75;0,90
Handler;0,61;0,70;0,61;0,06;0,13;0,89;0,02;0,00;0,04;0,88;0,92
Handler;0,78;0,87;0,95;0,19;0,05;0,89;0,07;0,04;0,05;0,85;0,90
Handler;0,86;0,65;0,55;0,07;0,02;0,87;0,05;0,01;0,05;0,90;0,91
Handler;0,67;0,73;0,57;0,09;0,14;0,80;0,04;0,00;0,03;0,94;0,96
Handler;0,77;0,65;0,91;0,19;0,04;0,87;0,00;0,05;0,05;0,79;0,95
Handler;0,72;0,90;0,93;0,07;0,08;0,86;0,08;0,01;0,03;0,94;0,99
Handler;0,90;0,59;0,68;0,03;0,12;0,98;0,01;0,01;0,02;0,97;0,92
Handler;0,65;0,60;0,66;0,19;0,05;0,75;0,02;0,03;0,04;0,87;0,93
Handler;0,60;0,80;0,76;0,15;0,02;0,80;0,02;0,00;0,02;0,82;0,99
Handler;0,85;0,87;0,60;0,19;0,11;0,93;0,09;0,00;0,00;0,88;0,98
Handler;0,91;0,81;0,58;0,04;0,03;0,96;0,03;0,05;0,01;0,76;0,90
Handler;0,67;0,52;0,62;0,02;0,07;0,80;0,05;0,03;0,02;0,94;0,97
Handler;0,85;0,60;0,89;0,01;0,07;0,70;0,02;0,04;0,01;0,71;0,94
Handler;0,86;0,73;0,56;0,01;0,09;0,92;0,01;0,00;0,02;0,84;0,92
Handler;0,75;0,52;0,72;0,07;0,08;0,97;0,05;0,02;0,03;0,84;0,95
Handler;0,61;0,87;0,84;0,01;0,14;0,83;0,04;0,03;0,04;0,76;0,91
Handler;0,68;0,64;0,76;0,11;0,05;0,73;0,07;0,03;0,03;0,73;0,99
Handler;0,82;0,67;0,89;0,06;0,02;0,94;0,04;0,03;0,04;0,80;0,98
Handler;0,91;0,79;0,78;0,02;0,13;0,73;0,03;0,05;0,05;0,84;0,95
Handler;0,66;0,54;0,59;0,05;0,05;0,85;0,02;0,03;0,00;0,81;0,88
Handler;0,76;0,58;0,67;0,17;0,08;0,84;0,10;0,02;0,04;0,97;0,95
Handler;0,84;0,87;0,77;0,08;0,02;0,81;0,03;0,03;0,03;0,81;0,94
Handler;0,77;0,84;0,61;0,13;0,07;0,77;0,07;0,01;0,04;0,81;0,98
Handler;0,91;0,59;0,59;0,05;0,13;0,73;0,04;0,02;0,04;0,79;0,91
Handler;0,60;0,75;0,89;0,15;0,04;0,88;0,10;0,02;0,01;0,78;0,90
Handler;0,77;0,87;0,75;0,09;0,05;0,91;0,02;0,01;0,04;0,74;0,97
Handler;0,77;0,65;0,94;0,06;0,13;0,85;0,04;0,04;0,03;0,70;0,95
Handler;0,83;0,79;0,94;0,12;0,09;0,94;0,10;0,00;0,00;0,74;0,98
Handler;0,85;0,83;0,80;0,10;0,04;0,94;0,10;0,02;0,03;0,86;0,91
Handler;0,67;0,68;0,87;0,07;0,04;0,88;0,04;0,03;0,00;0,77;0,92
Handler;0,67;0,65;0,71;0,04;0,01;0,78;0,01;0,05;0,02;0,78;0,99
Handler;0,77;0,88;0,54;0,06;0,11;0,82;0,10;0,05;0,04;0,90;0,88
Handler;0,92;0,54;0,92;0,07;0,02;0,71;0,00;0,03;0,04;0,85;0,89
Handler;0,90;0,78;0,73;0,14;0,11;0,71;0,00;0,00;0,02;0,91;0,93
Handler;0,67;0,73;0,85;0,07;0,14;0,72;0,04;0,01;0,05;0,74;0,98
Handler;0,83;0,71;0,92;0,14;0,14;0,96;0,08;0,02;0,00;0,81;0,93
Handler;0,94;0,69;0,68;0,19;0,14;0,90;0,04;0,04;0,03;0,91;0,89
Handler;0,85;0,82;0,87;0,07;0,10;0,78;0,06;0,02;0,01;0,72;0,96
Handler;0,67;0,55;0,88;0,01;0,03;0,75;0,06;0,00;0,02;0,88;0,96
Handler;0,77;0,59;0,62;0,15;0,09;0,97;0,06;0,00;0,00;0,74;0,89
Handler;0,66;0,81;0,90;0,15;0,09;0,97;0,03;0,05;0,03;0,75;0,97
Handler;0,92;0,81;0,63;0,18;0,02;0,85;0,08;0,01;0,02;0,86;0,99
Handler;0,77;0,78;0,70;0,19;0,09;0,83;0,08;0,01;0,00;0,78;0,96
Handler;0,74;0,51;0,63;0,20;0,15;0,75;0,05;0,05;0,01;0,92;0,96
Handler;0,73;0,57;0,86;0,20;0,05;0,78;0,00;0,05;0,01;0,95;0,93
Handler;0,74;0,74;0,83;0,04;0,01;0,87;0,02;0,03;0,02;0,92;0,98
Handler;0,64;0,85;0,82;0,03;0,08;0,85;0,00;0,02;0,00;0,73;0,99
Handler;0,72;0,80;0,58;0,20;0,15;0,91;0,05;0,05;0,00;0,78;0,88
Handler;0,92;0,54;0,52;0,19;0,03;0,92;0,01;0,03;0,00;0,74;0,90
Handler;0,82;0,72;0,62;0,19;0,09;0,89;0,08;0,05;0,05;0,70;0,96
Handler;0,76;0,66;0,90;0,10;0,02;0,80;0,09;0,03;0,01;0,90;0,97
Handler;0,68;0,76;0,61;0,19;0,13;0,82;0,00;0,03;0,03;0,76;0,96
Handler;0,87;0,83;0,84;0,07;0,02;0,89;0,06;0,00;0,02;0,75;0,89
Handler;0,88;0,80;0,61;0,06;0,10;0,75;0,00;0,04;0,01;0,87;0,99
Handler;0,67;0,88;0,72;0,20;0,02;0,74;0,09;0,05;0,02;0,72;0,99
Handler;0,79;0,58;0,77;0,10;0,06;0,73;0,06;0,00;0,02;0,73;0,95
Handler;0,86;0,65;0,78;0,20;0,14;0,86;0,00;0,02;0,02;0,80;0,99
Handler;0,73;0,79;0,83;0,16;0,11;0,73;0,09;0,00;0,05;0,70;0,93
Handler;0,79;0,90;0,54;0,10;0,00;0,76;0,04;0,00;0,00;0,84;0,91
Handler;0,77;0,58;0,77;0,10;0,01;0,95;0,01;0,01;0,04;0,95;0,90
Handler;0,75;0,51;0,90;0,01;0,08;0,87;0,01;0,02;0,03;0,77;0,99
Handler;0,80;0,67;0,69;0,13;0,05;0,83;0,07;0,02;0,02;0,73;0,97
Handler;0,74;0,75;0,79;0,16;0,11;0,76;0,06;0,01;0,02;0,82;0,99
Handler;0,81;0,74;0,61;0,12;0,08;0,93;0,02;0,01;0,03;0,70;0,92
Handler;0,82;0,81;0,77;0,14;0,06;0,78;0,09;0,03;0,01;0,84;0,94
Handler;0,69;0,63;0,84;0,13;0,07;0,74;0,09;0,05;0,03;0,77;0,95
Handler;0,73;0,86;0,60;0,19;0,00;0,98;0,10;0,01;0,05;0,72;0,93
Handler;0,74;0,88;0,68;0,19;0,10;0,87;0,04;0,03;0,05;0,92;0,98
Handler;0,93;0,84;0,57;0,16;0,14;0,85;0,04;0,02;0,04;0,73;0,98
Handler;0,87;0,60;0,59;0,14;0,07;0,91;0,05;0,04;0,04;0,79;0,95
Handler;0,72;0,89;0,65;0,04;0,06;0,73;0,04;0,00;0,05;0,89;0,90
Handler;0,83;0,73;0,90;0,12;0,15;0,86;0,00;0,01;0,00;0,92;0,89
Handler;0,67;0,80;0,52;0,04;0,00;0,95;0,10;0,00;0,02;0,72;0,93
Handler;0,89;0,73;0,95;0,01;0,10;0,95;0,08;0,00;0,02;0,85;0,90
Handler;0,64;0,52;0,58;0,10;0,14;0,86;0,08;0,01;0,03;0,90;0,92
Handler;0,94;0,63;0,78;0,18;0,01;0,71;0,07;0,02;0,03;0,97;0,92
Handler;0,90;0,85;0,93;0,07;0,13;1,00;0,05;0,00;0,04;0,95;0,96
Handler;0,64;0,64;0,91;0,13;0,11;0,84;0,07;0,03;0,03;0,93;0,96
Handler;0,79;0,74;0,55;0,01;0,15;0,72;0,03;0,05;0,01;0,95;0,88
Handler;0,71;0,77;0,91;0,05;0,04;0,95;0,08;0,03;0,01;0,71;0,88
Handler;0,85;0,60;0,67;0,01;0,07;0,94;0,05;0,05;0,05;0,75;0,89
Handler;0,76;0,55;0,84;0,08;0,04;0,82;0,03;0,01;0,02;0,91;0,98
Handler;0,81;0,67;0,75;0,20;0,02;0,80;0,07;0,00;0,05;0,92;0,97
Handler;0,70;0,69;0,77;0,04;0,10;0,95;0,03;0,04;0,05;0,87;0,95
Handler;0,91;0,65;0,70;0,03;0,01;0,75;0,09;0,00;0,01;0,83;0,94
Handler;0,83;0,60;0,91;0,10;0,06;0,83;0,09;0,02;0,01;0,92;0,97
Handler;0,88;0,53;0,80;0,01;0,01;0,85;0,06;0,02;0,01;0,94;0,89
Handler;0,80;0,62;0,85;0,05;0,08;0,96;0,00;0,05;0,03;0,73;0,90
Handler;0,61;0,84;0,91;0,17;0,04;0,96;0,07;0,05;0,05;0,70;0,97
Handler;0,88;0,86;0,87;0,02;0,00;0,78;0,02;0,04;0,00;0,96;0,99
Handler;0,61;0,81;0,71;0,19;0,04;0,84;0,07;0,05;0,00;0,84;0,96
Handler;0,81;0,59;0,53;0,08;0,10;0,74;0,10;0,00;0,01;0,82;0,95
Handler;0,77;0,73;0,57;0,16;0,15;0,71;0,00;0,05;0,01;0,81;0,89
Handler;0,82;0,83;0,57;0,03;0,05;0,83;0,00;0,01;0,02;0,89;0,95
Handler;0,70;0,75;0,58;0,15;0,15;0,90;0,04;0,04;0,02;0,74;0,88
Handler;0,70;0,66;0,77;0,10;0,02;0,89;0,01;0,05;0,05;0,77;0,89
Handler;0,78;0,64;0,79;0,06;0,00;0,75;0,07;0,04;0,02;0,84;0,98
Handler;0,79;0,56;0,65;0,08;0,01;0,89;0,07;0,02;0,03;0,94;0,91
Handler;0,77;0,60;0,56;0,13;0,10;0,81;0,08;0,04;0,04;0,89;0,92
Handler;0,75;0,71;0,58;0,04;0,12;0,98;0,05;0,05;0,05;0,95;0,89
Handler;0,90;0,55;0,91;0,15;0,14;0,79;0,02;0,02;0,03;0,77;0,93
Handler;0,67;0,55;0,52;0,20;0,06;0,91;0,04;0,02;0,02;0,82;0,92
Handler;0,75;0,78;0,61;0,19;0,12;0,88;0,08;0,05;0,00;0,83;0,88
Handler;0,75;0,75;0,71;0,20;0,15;1,00;0,10;0,04;0,02;0,85;0,89
Handler;0,65;0,74;0,85;0,02;0,05;0,85;0,04;0,04;0,05;0,85;0,97
Handler;0,74;0,63;0,74;0,07;0,00;0,92;0,05;0,05;0,04;0,82;0,93
Handler;0,85;0,62;0,75;0,18;0,05;0,94;0,01;0,04;0,02;0,81;0,99
Handler;0,85;0,76;0,72;0,02;0,04;0,96;0,00;0,04;0,04;0,72;0,90
Handler;0,72;0,54;0,73;0,02;0,14;0,82;0,06;0,00;0,01;0,96;0,94
Handler;0,63;0,80;0,79;0,14;0,10;0,97;0,01;0,04;0,02;0,81;0,98
Handler;0,79;0,57;0,64;0,16;0,14;0,82;0,10;0,01;0,00;0,86;0,88
Handler;0,69;0,57;0,73;0,09;0,08;0,95;0,04;0,05;0,02;0,86;0,97
Handler;0,86;0,68;0,51;0,14;0,11;0,95;0,02;0,00;0,00;0,74;0,96
Handler;0,83;0,84;0,91;0,20;0,13;0,86;0,09;0,05;0,03;0,94;0,88
Handler;0,81;0,67;0,59;0,03;0,04;1,00;0,08;0,00;0,05;0,94;0,95
Handler;0,81;0,73;0,86;0,11;0,09;0,74;0,01;0,01;0,03;0,76;0,94
Handler;0,79;0,57;0,60;0,03;0,12;0,86;0,05;0,01;0,00;0,96;0,90
Handler;0,90;0,80;0,91;0,03;0,10;0,94;0,10;0,02;0,04;0,80;0,98
Handler;0,64;0,70;0,51;0,09;0,09;0,97;0,06;0,05;0,04;0,72;0,91
Handler;0,86;0,52;0,56;0,16;0,05;0,79;0,05;0,04;0,01;0,72;0,94
Handler;0,90;0,84;0,83;0,10;0,08;0,85;0,04;0,02;0,00;0,97;0,90
Handler;0,88;0,70;0,90;0,18;0,06;0,70;0,03;0,00;0,00;0,76;0,98
Handler;0,63;0,90;0,63;0,05;0,00;0,82;0,05;0,05;0,05;0,73;0,90
Handler;0,84;0,68;0,86;0,18;0,12;0,94;0,00;0,00;0,01;0,93;0,97
Handler;0,71;0,63;0,95;0,08;0,13;0,95;0,01;0,00;0,02;0,81;0,96
Handler;0,92;0,61;0,74;0,09;0,09;0,71;0,10;0,04;0,01;0,81;0,88
Handler;0,62;0,55;0,90;0,16;0,01;0,97;0,01;0,02;0,00;0,88;0,93
Handler;0,86;0,59;0,64;0,12;0,03;0,99;0,00;0,05;0,04;0,73;0,99
Handler;0,82;0,72;0,77;0,01;0,02;0,90;0,01;0,02;0,02;0,91;0,97
Handler;0,85;0,57;0,89;0,12;0,10;0,81;0,09;0,01;0,03;0,94;0,94
Handler;0,95;0,81;0,59;0,07;0,11;0,87;0,05;0,00;0,03;0,95;0,95
Handler;0,91;0,79;0,76;0,05;0,14;0,98;0,06;0,00;0,02;0,96;0,97
Handler;0,66;0,57;0,68;0,18;0,13;0,99;0,09;0,00;0,02;0,92;0,90
Handler;0,79;0,71;0,62;0,05;0,08;0,85;0,01;0,04;0,01;0,81;0,93
Handler;0,85;0,87;0,74;0,19;0,02;0,78;0,05;0,05;0,01;0,80;0,88
Handler;0,95;0,85;0,85;0,18;0,01;0,90;0,00;0,05;0,00;0,75;0,92
Handler;0,81;0,67;0,85;0,17;0,10;0,76;0,08;0,05;0,02;0,79;0,91
Handler;0,88;0,70;0,72;0,19;0,14;0,73;0,07;0,03;0,05;0,79;0,99
Handler;0,76;0,82;0,86;0,16;0,04;0,94;0,07;0,02;0,01;0,83;0,91
Handler;0,62;0,73;0,67;0,02;0,05;0,72;0,09;0,02;0,01;0,77;0,88
Handler;0,91;0,69;0,88;0,03;0,12;0,70;0,01;0,04;0,02;0,74;0,99
Handler;0,80;0,80;0,67;0,18;0,12;0,88;0,09;0,05;0,00;0,72;0,89
Handler;0,63;0,78;0,87;0,05;0,10;0,71;0,01;0,04;0,00;0,84;0,89
Handler;0,69;0,74;0,66;0,16;0,14;0,82;0,05;0,03;0,05;0,96;0,95
Handler;0,81;0,52;0,62;0,10;0,01;0,93;0,05;0,02;0,01;0,95;0,97
Handler;0,60;0,83;0,75;0,06;0,13;0,80;0,09;0,03;0,02;0,82;0,95
Handler;0,62;0,81;0,53;0,14;0,01;0,73;0,00;0,00;0,05;0,85;0,88
Handler;0,77;0,66;0,63;0,15;0,10;0,80;0,01;0,02;0,01;0,88;0,92
Handler;0,72;0,62;0,73;0,19;0,00;0,93;0,03;0,01;0,02;0,85;0,95
Handler;0,77;0,63;0,68;0,17;0,06;0,80;0,00;0,03;0,04;0,72;0,89
Handler;0,89;0,64;0,73;0,04;0,02;0,89;0,07;0,02;0,05;0,88;0,89
Handler;0,80;0,89;0,60;0,03;0,09;0,73;0,01;0,05;0,02;0,84;0,98
Handler;0,75;0,55;0,92;0,12;0,09;0,72;0,10;0,01;0,02;0,88;0,93
Handler;0,88;0,81;0,89;0,17;0,12;0,84;0,10;0,01;0,05;0,87;0,93
Handler;0,92;0,86;0,54;0,01;0,01;0,97;0,10;0,05;0,03;0,91;0,91
Handler;0,80;0,66;0,71;0,13;0,04;0,76;0,06;0,03;0,03;0,94;0,94
Handler;0,66;0,72;0,60;0,14;0,15;0,75;0,00;0,01;0,02;0,70;0,96
Handler;0,67;0,58;0,64;0,15;0,12;0,88;0,04;0,05;0,04;0,75;0,99
Handler;0,75;0,72;0,87;0,13;0,04;0,83;0,08;0,03;0,01;0,83;0,98
Handler;0,90;0,63;0,92;0,16;0,11;0,80;0,09;0,04;0,04;0,87;0,88
Handler;0,86;0,80;0,65;0,15;0,15;0,95;0,10;0,05;0,02;0,76;0,91
Handler;0,84;0,79;0,95;0,07;0,00;0,89;0,07;0,02;0,02;0,71;0,90
Handler;0,64;0,74;0,51;0,01;0,15;0,89;0,08;0,02;0,01;0,90;0,94
Handler;0,75;0,70;0,79;0,01;0,13;0,80;0,08;0,02;0,03;0,97;0,90
Handler;0,85;0,86;0,81;0,14;0,06;0,94;0,09;0,01;0,03;0,87;0,92
Handler;0,61;0,83;0,80;0,11;0,02;0,87;0,04;0,01;0,00;0,87;0,88
Handler;0,83;0,69;0,68;0,12;0,05;0,89;0,00;0,03;0,00;0,90;0,95
Handler;0,89;0,51;0,58;0,18;0,09;0,74;0,07;0,02;0,01;0,97;0,91
Handler;0,67;0,86;0,80;0,08;0,10;0,76;0,01;0,03;0,01;0,95;0,99
Handler;0,92;0,85;0,62;0,06;0,07;0,70;0,04;0,05;0,03;0,90;0,96
Handler;0,95;0,53;0,81;0,17;0,13;0,77;0,04;0,00;0,03;0,83;0,93
Handler;0,71;0,60;0,91;0,18;0,10;0,71;0,01;0,01;0,01;0,73;0,93
Handler;0,78;0,86;0,79;0,06;0,10;0,79;0,00;0,02;0,03;0,78;0,94
Handler;0,94;0,58;0,84;0,11;0,00;0,89;0,02;0,03;0,05;0,92;0,92
Handler;0,66;0,74;0,61;0,03;0,00;0,81;0,06;0,04;0,02;0,84;0,94
Handler;0,92;0,71;0,80;0,05;0,08;0,74;0,02;0,00;0,04;0,91;0,94
Handler;0,71;0,56;0,90;0,20;0,07;0,91;0,04;0,02;0,04;0,75;0,89
Handler;0,90;0,53;0,68;0,09;0,02;0,80;0,05;0,03;0,03;0,70;0,99
Handler;0,73;0,59;0,58;0,11;0,07;0,89;0,00;0,02;0,02;0,81;0,97
Handler;0,64;0,77;0,89;0,07;0,07;0,90;0,00;0,02;0,02;0,84;0,97
Handler;0,80;0,62;0,67;0,05;0,10;0,80;0,02;0,02;0,03;0,77;0,89
Handler;0,60;0,80;0,91;0,04;0,13;0,86;0,08;0,01;0,02;0,80;0,90
Handler;0,88;0,71;0,58;0,13;0,08;0,75;0,08;0,04;0,03;0,83;0,97
Handler;0,64;0,90;0,82;0,18;0,13;0,72;0,07;0,04;0,04;0,72;0,94
Handler;0,76;0,60;0,66;0,04;0,03;0,84;0,08;0,01;0,05;0,70;0,98
Handler;0,95;0,90;0,52;0,15;0,05;0,87;0,06;0,00;0,03;0,79;0,89
Handler;0,93;0,66;0,51;0,19;0,03;0,77;0,06;0,00;0,05;0,85;0,94
Handler;0,91;0,82;0,57;0,06;0,04;0,89;0,01;0,03;0,00;0,87;0,99
Handler;0,79;0,51;0,81;0,09;0,14;0,81;0,08;0,01;0,01;0,79;0,91
Handler;0,60;0,85;0,68;0,15;0,03;0,85;0,09;0,02;0,04;0,72;0,89
Handler;0,93;0,60;0,84;0,15;0,04;0,86;0,08;0,03;0,01;0,71;0,94
Handler;0,95;0,52;0,92;0,17;0,04;0,91;0,02;0,04;0,05;0,73;0,96
Handler;0,73;0,76;0,72;0,02;0,10;0,75;0,09;0,00;0,05;0,89;0,88
Handler;0,89;0,68;0,64;0,18;0,04;0,84;0,02;0,03;0,04;0,90;0,90
Handler;0,74;0,57;0,80;0,01;0,05;0,83;0,04;0,00;0,01;0,79;0,93
Handler;0,60;0,61;0,68;0,01;0,07;0,70;0,06;0,00;0,04;0,97;0,92
Handler;0,90;0,66;0,52;0,04;0,02;0,78;0,04;0,04;0,03;0,93;0,90
Handler;0,84;0,65;0,63;0,20;0,12;0,87;0,07;0,02;0,03;0,71;0,91
Handler;0,92;0,67;0,57;0,06;0,14;0,97;0,04;0,03;0,04;0,93;0,91
Handler;0,64;0,67;0,73;0,03;0,04;0,82;0,04;0,02;0,05;0,96;0,98
Handler;0,94;0,53;0,73;0,18;0,02;0,83;0,06;0,00;0,05;0,93;0,98
Handler;0,60;0,67;0,62;0,09;0,14;0,84;0,05;0,02;0,04;0,71;0,96
Handler;0,75;0,54;0,51;0,19;0,02;0,95;0,04;0,04;0,05;0,96;0,91
Handler;0,68;0,57;0,73;0,06;0,05;0,94;0,06;0,00;0,04;0,89;0,91
Handler;0,89;0,68;0,58;0,03;0,14;0,98;0,10;0,02;0,02;0,80;0,93
Handler;0,78;0,83;0,77;0,20;0,08;0,81;0,00;0,02;0,00;0,76;0,98
Handler;0,80;0,81;0,74;0,06;0,03;0,73;0,06;0,02;0,04;0,84;0,95
Handler;0,79;0,52;0,58;0,11;0,12;0,99;0,03;0,02;0,03;0,83;0,92
Handler;0,77;0,84;0,77;0,16;0,02;0,83;0,08;0,03;0,02;0,85;0,89
Handler;0,74;0,57;0,74;0,20;0,15;0,89;0,02;0,00;0,05;0,93;0,88
Handler;0,85;0,51;0,59;0,01;0,12;0,70;0,08;0,00;0,00;0,85;0,91
Handler;0,65;0,80;0,62;0,08;0,14;0,71;0,10;0,04;0,01;0,87;0,98
Handler;0,90;0,64;0,75;0,16;0,09;0,71;0,04;0,04;0,03;0,85;0,95
Handler;0,68;0,51;0,89;0,07;0,05;0,94;0,08;0,03;0,03;0,80;0,97
Handler;0,95;0,55;0,75;0,05;0,08;0,79;0,02;0,00;0,03;0,88;0,88
Handler;0,87;0,73;0,81;0,07;0,07;0,85;0,02;0,02;0,01;0,93;0,88
Handler;0,90;0,72;0,93;0,01;0,02;0,77;0,01;0,03;0,05;0,97;0,99
Handler;0,68;0,69;0,80;0,03;0,02;0,90;0,09;0,04;0,05;0,96;0,99
Handler;0,65;0,63;0,90;0,03;0,11;0,92;0,07;0,04;0,04;0,86;0,90
Handler;0,83;0,77;0,78;0,18;0,09;0,81;0,00;0,03;0,02;0,88;0,96
Handler;0,93;0,84;0,73;0,14;0,00;0,98;0,00;0,00;0,04;0,82;0,89
Handler;0,79;0,75;0,63;0,08;0,07;0,73;0,03;0,01;0,02;0,97;0,92
Handler;0,82;0,77;0,70;0,06;0,03;0,82;0,02;0,00;0,04;0,90;0,99
Handler;0,92;0,82;0,58;0,13;0,07;0,84;0,03;0,03;0,04;0,74;0,96
Handler;0,61;0,59;0,87;0,16;0,00;0,83;0,09;0,05;0,04;0,76;0,92
Handler;0,84;0,89;0,61;0,12;0,06;0,84;0,06;0,05;0,03;0,70;0,88
Handler;0,63;0,62;0,94;0,02;0,13;0,95;0,03;0,05;0,01;0,91;0,91
Handler;0,66;0,65;0,95;0,17;0,12;0,90;0,10;0,04;0,02;0,94;0,94
Handler;0,61;0,61;0,81;0,06;0,08;0,87;0,05;0,05;0,04;0,72;0,91
Handler;0,93;0,71;0,83;0,18;0,06;0,72;0,03;0,00;0,02;0,91;0,94
Handler;0,94;0,75;0,84;0,09;0,12;0,76;0,08;0,00;0,03;0,73;0,91
Handler;0,90;0,59;0,62;0,03;0,09;0,97;0,08;0,05;0,01;0,76;0,92
Handler;0,88;0,62;0,69;0,14;0,11;0,99;0,00;0,00;0,03;0,80;0,96
Handler;0,75;0,77;0,68;0,18;0,04;0,93;0,02;0,00;0,01;0,93;0,88
Handler;0,94;0,57;0,74;0,05;0,07;0,75;0,00;0,03;0,03;0,74;0,89
Handler;0,94;0,51;0,89;0,12;0,07;0,74;0,01;0,01;0,01;0,77;0,95
Handler;0,65;0,77;0,74;0,17;0,13;0,78;0,06;0,00;0,05;0,76;0,98
Handler;0,67;0,84;0,57;0,12;0,02;1,00;0,01;0,01;0,04;0,82;0,94
Handler;0,74;0,56;0,54;0,18;0,10;0,74;0,09;0,01;0,04;0,70;0,96
Handler;0,60;0,83;0,63;0,17;0,01;0,95;0,05;0,00;0,03;0,85;0,88
Handler;0,72;0,54;0,88;0,07;0,09;0,80;0,06;0,01;0,02;0,93;0,89
Handler;0,78;0,65;0,62;0,15;0,15;0,70;0,05;0,04;0,02;0,80;0,88
Handler;0,76;0,73;0,54;0,20;0,07;0,71;0,01;0,04;0,00;0,86;0,97
Handler;0,92;0,72;0,55;0,11;0,04;0,86;0,10;0,00;0,00;0,82;0,96
Handler;0,89;0,83;0,87;0,18;0,09;0,80;0,05;0,05;0,01;0,74;0,88
Handler;0,63;0,62;0,77;0,05;0,10;0,94;0,00;0,05;0,04;0,70;0,91
Handler;0,89;0,59;0,85;0,16;0,04;0,77;0,07;0,05;0,04;0,86;0,91
Handler;0,72;0,87;0,85;0,20;0,14;0,84;0,09;0,04;0,01;0,95;0,89
Handler;0,73;0,80;0,67;0,20;0,07;0,89;0,02;0,05;0,04;0,91;0,88
Handler;0,89;0,68;0,51;0,16;0,12;0,74;0,01;0,04;0,03;0,80;0,92
Handler;0,93;0,72;0,90;0,01;0,04;0,93;0,02;0,02;0,03;0,82;0,88
Handler;0,77;0,69;0,83;0,15;0,07;0,95;0,01;0,02;0,01;0,71;0,99
Handler;0,81;0,86;0,79;0,02;0,15;0,90;0,05;0,05;0,00;0,96;0,95
Handler;0,62;0,89;0,65;0,07;0,08;0,87;0,04;0,02;0,05;0,90;0,88
Handler;0,71;0,69;0,69;0,09;0,14;0,71;0,05;0,03;0,01;0,77;0,90
Handler;0,78;0,53;0,79;0,05;0,08;0,93;0,09;0,05;0,03;0,82;0,93
Handler;0,61;0,66;0,81;0,15;0,08;0,94;0,01;0,05;0,01;0,97;0,91
Handler;0,86;0,69;0,66;0,07;0,06;0,80;0,03;0,02;0,02;0,90;0,91
Handler;0,69;0,81;0,87;0,15;0,12;0,74;0,03;0,02;0,04;0,80;0,92
Handler;0,91;0,76;0,58;0,12;0,09;0,92;0,04;0,01;0,04;0,79;0,91
Handler;0,71;0,78;0,87;0,04;0,11;0,70;0,06;0,03;0,01;0,95;0,95
Handler;0,63;0,68;0,64;0,02;0,01;0,80;0,09;0,00;0,02;0,84;0,92
Handler;0,69;0,87;0,61;0,04;0,05;0,78;0,03;0,01;0,00;0,88;0,90
Handler;0,66;0,73;0,61;0,17;0,04;0,99;0,10;0,02;0,01;0,95;0,94
Handler;0,88;0,64;0,90;0,07;0,05;0,71;0,04;0,01;0,03;0,83;0,97
Handler;0,77;0,86;0,60;0,13;0,09;0,87;0,07;0,05;0,04;0,85;0,96
Handler;0,63;0,87;0,79;0,12;0,10;0,94;0,06;0,00;0,02;0,88;0,97
Handler;0,80;0,77;0,58;0,06;0,11;1,00;0,08;0,04;0,01;0,81;0,96
Handler;0,78;0,78;0,63;0,02;0,14;0,76;0,03;0,00;0,04;0,71;0,92
